,director,sum_power,wciar_power
0,nm0000040,41161160.298206426,254127.42240885043
1,nm0000095,17070569.60149001,250291.63326699307
2,nm0000101,7696565.220178041,9527.886251029711
3,nm0000106,5627650.973896391,386729.230179001
4,nm0000108,91938720.63556007,20255725.598478746
5,nm0000110,219739008.91376495,44013606.004129216
6,nm0000116,256340909.55635875,6819357.945268543
7,nm0000118,26097900.628258754,168412.34864780284
8,nm0000123,40637837.82255834,6007598.579974319
9,nm0000126,29606326.50646407,400038.05912916776
10,nm0000127,198068815.9307031,4851824.7661016965
11,nm0000128,1346500.9362978335,282381.7131558875
12,nm0000142,201488619.2821454,38040016.56827029
13,nm0000149,16227151.464141198,5289877.421193983
14,nm0000154,170789033.30517456,8783379.365600238
15,nm0000158,15163175.23229256,1628133.5431553447
16,nm0000165,433959043.9710502,64710510.03357257
17,nm0000169,31712.829969512193,892.6368077097445
18,nm0000184,371103229.4063958,6538060.522021196
19,nm0000186,16841109.317869246,4645.842453480174
20,nm0000198,46493.08642857143,219.5573930354476
21,nm0000200,6223337.434765404,71750.19558965853
22,nm0000209,146097.3549376114,1078.008206552011
23,nm0000217,133283948.18907404,9236867.475755047
24,nm0000219,22609052.92764826,54665.33568253549
25,nm0000228,171410.75409326423,647.5715199467544
26,nm0000229,981864225.2427607,47719167.77790983
27,nm0000230,80046765.36386213,5379082.432035404
28,nm0000231,150915313.67635223,9431641.720071442
29,nm0000233,278516400.56854653,39105483.42448863
30,nm0000243,443946.43880984315,50339.15503895188
31,nm0000247,166614299.21606115,1642480.8245653266
32,nm0000255,53392507.677614674,5528923.034783069
33,nm0000264,201829.0017801047,4544.785086047198
34,nm0000265,8335530.8503782675,78197.30107486159
35,nm0000269,20502366.633439276,236376.19387026053
36,nm0000277,397970.1744441998,2144.499886738321
37,nm0000316,3687912.482599119,4565.414523589806
38,nm0000318,670365750.8690873,63133679.86495051
39,nm0000338,96495779.8989592,171597.3285757278
40,nm0000341,16073370.137594255,118600.5381320829
