,tconst,directors,actors,distributor,mpaa,release_year,budget,opening_revenue,domestic_revenue,opening_theaters,runtime_minutes,release_month,release_day,genre_crime,genre_drama,genre_adventure,genre_thriller,genre_horror,genre_action,genre_fantasy,genre_sci-fi,genre_comedy,genre_war,genre_mystery,genre_biography,genre_history,genre_romance,genre_family,genre_musical,genre_sport,genre_music,genre_animation,genre_western,genre_documentary,genre_news
0,tt0068646,nm0000338,"nm0722000,nm0000008,nm0000199,nm0001001,nm0000473,nm0748665,nm0000065,nm0932336",Paramount Pictures,R,1972,37910434.782608695,1910641.6842028985,844764037.5126086,6,175,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,tt0073195,nm0000229,"nm0002354,nm0001702,nm0001727,nm0000377,nm0308882,nm0113360,nm0005573",Universal Pictures,PG,1975,34161828.358208954,34462027.865037315,1268867910.4477613,409,124,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,tt0074751,nm0347086,"nm0000313,nm0001301,nm0001448,nm0709907",Paramount Pictures,PG,1976,107868865.97938144,31569266.374948453,236477521.51185566,974,134,12,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,tt0076759,nm0000184,"nm0156816,nm0000434,nm0000148,nm0000402,nm0000027,nm0476030,nm0564768,nm0002354,nm0852405",Twentieth Century Fox,PG,1977,47718109.452736326,6743328.017412936,1332913669.017811,43,121,5,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,tt0077631,nm0459170,"nm0830164,nm0000237,nm0000556,nm0000330,nm0001063",Paramount Pictures,PG,1978,24071963.19018405,35874113.74684049,641834244.9745399,862,110,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
5,tt0078346,nm0001149,"nm0001659,nm0452288,nm0000432,nm0000008",Warner Bros.,PG,1978,212511225.9970458,28844894.42579025,518597010.11042833,508,143,12,4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,tt0079753,nm0703689,"nm0592387,nm0000634,nm0292802,nm0420383,nm0813961",Universal Pictures,PG,1979,45731118.88111888,8872989.487132868,27989639.84895105,417,108,5,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,tt0078748,nm0000631,"nm0001353,nm0000244,nm0000643,nm0000457,nm0001021,nm0140826,nm0318429",Twentieth Century Fox,R,1979,40243384.615384616,12906715.632755244,288819055.63023776,91,117,5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,tt0079550,nm0623768,"nm0002304,nm0000125,nm0000081,nm0001500,nm0001417,nm0649792,nm0664127",American International Pictures (AIP),PG,1979,55655744.68085106,7826589.09574468,29219265.957446806,575,108,10,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,tt0079945,nm0936404,"nm0000025,nm0000638,nm0000559,nm0001420,nm0001150,nm0270645",Paramount Pictures,G,1979,119365971.31681877,40674537.91423729,280538871.41319424,857,132,12,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
