,tconst,startYear,runtimeMinutes,directors,writers,nconst,title,distributor,domestic_revenue,opening_revenue,opening_theaters,budget,mpaa,genres,release_date
0,tt0068646,1972,175,nm0000338,"nm0701374,nm0000338","nm0722000,nm0000008,nm0000199,nm0001001,nm0000473,nm0000338,nm0701374,nm0748665,nm0000065,nm0932336",The Godfather,Paramount Pictures,"$133,698,921","$302,393",6,"$6,000,000",R,"Crime,Drama","Mar 15, 1972"
1,tt0073195,1975,124,nm0000229,"nm0001940,nm0331956","nm0002354,nm0001702,nm0001727,nm0000377,nm0308882,nm0000229,nm0001940,nm0331956,nm0113360,nm0005573",Jaws,Universal Pictures,"$260,000,000","$7,061,513",409,"$7,000,000",PG,"Adventure,Thriller","Jun 20, 1975"
2,tt0074751,1976,134,nm0347086,"nm0187256,nm0741656,nm0178260,nm0908624,nm0783913","nm0783913,nm0000313,nm0001301,nm0001448,nm0709907,nm0347086,nm0187256,nm0741656,nm0178260,nm0908624",King Kong,Paramount Pictures,"$52,614,445","$7,023,921",974,"$24,000,000",PG,"Adventure,Horror","Dec 17, 1976"
3,tt0076759,1977,121,nm0000184,nm0000184,"nm0156816,nm0000434,nm0000148,nm0000402,nm0000027,nm0000184,nm0476030,nm0564768,nm0002354,nm0852405",Star Wars: Episode IV - A New Hope,Twentieth Century Fox,"$307,263,857","$1,554,475",43,"$11,000,000",PG,"Action,Adventure,Fantasy,Sci-Fi","May 25, 1977"
4,tt0078346,1978,143,nm0001149,"nm0796950,nm0795975,nm0701374,nm0628058,nm0628174,nm0000914,nm0542539","nm0628174,nm0001659,nm0452288,nm0000432,nm0000008,nm0001149,nm0796950,nm0795975,nm0701374,nm0628058",Superman,Warner Bros.,"$134,218,018","$7,465,343",508,"$55,000,000",PG,"Action,Adventure,Drama,Sci-Fi","Dec 15, 1978"
5,tt0079550,1979,108,nm0623768,"nm0542970,nm0636002","nm0002304,nm0000125,nm0000081,nm0001500,nm0001417,nm0623768,nm0542970,nm0636002,nm0649792,nm0664127",Meteor,American International Pictures (AIP),"$8,400,000","$2,250,000",575,"$16,000,000",PG,"Action,Drama,Sci-Fi,Thriller","Oct 19, 1979"
6,tt0079753,1979,108,nm0703689,"nm0166074,nm0478588,nm0393949,nm0741358","nm0592387,nm0000634,nm0292802,nm0420383,nm0813961,nm0703689,nm0166074,nm0478588,nm0393949,nm0741358",The Prisoner of Zenda,Universal Pictures,"$7,650,600","$2,425,315",417,"$12,500,000",PG,"Adventure,Comedy","May 25, 1979"
7,tt0078723,1979,118,nm0000229,"nm0000709,nm0301826,nm0587518","nm0002354,nm0000004,nm0000101,nm0001852,nm0000262,nm0000229,nm0000709,nm0301826,nm0587518,nm0270809",1941,Universal Pictures,"$31,755,742","$2,701,898",325,"$35,000,000",PG,"Action,Comedy,War","Dec 14, 1979"
8,tt0079945,1979,132,nm0936404,"nm0734472,nm0515245,nm0287669","nm0000025,nm0000638,nm0000559,nm0001420,nm0001150,nm0936404,nm0734472,nm0515245,nm0287669,nm0270645",Star Trek: The Motion Picture,Paramount Pictures,"$82,258,456","$11,926,421",857,"$35,000,000",G,"Adventure,Mystery,Sci-Fi","Dec 7, 1979"
9,tt0080684,1980,124,nm0449984,"nm0102824,nm0001410,nm0000184","nm0564768,nm0000434,nm0000148,nm0000402,nm0001850,nm0449984,nm0102824,nm0001410,nm0000184,nm0476030",Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,"$209,398,025","$4,910,483",126,"$18,000,000",PG,"Action,Adventure,Fantasy,Sci-Fi","May 21, 1980"
