,distributor,mpaa,budget,opening_revenue,opening_theaters,runtime_minutes,release_year,release_month,release_date,release_day,genre_crime,genre_drama,genre_adventure,genre_thriller,genre_horror,genre_action,genre_fantasy,genre_sci-fi,genre_comedy,genre_war,genre_mystery,genre_biography,genre_history,genre_romance,genre_family,genre_musical,genre_sport,genre_music,genre_animation,genre_western,genre_documentary,genre_news,director_power,actor_power
0,Paramount Pictures,R,37910434.782608695,1910641.6842028985,6,175,1972,3,1972-03-15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844764037.5126086,844764037.5126086
1,Universal Pictures,PG,34161828.358208954,34462027.865037315,409,124,1975,6,1975-06-20,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268867910.4477613,1268867910.4477613
2,Paramount Pictures,PG,107868865.97938144,31569266.374948453,974,134,1976,12,1976-12-17,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236477521.51185566,236477521.51185566
3,Twentieth Century Fox,PG,47718109.452736326,6743328.017412936,43,121,1977,5,1977-05-25,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332913669.017811,1473898992.4008956
4,Paramount Pictures,PG,24071963.19018405,35874113.74684049,862,110,1978,6,1978-06-16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,641834244.9745399,641834244.9745399
5,Warner Bros.,PG,212511225.9970458,28844894.42579025,508,143,1978,12,1978-12-15,4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518597010.11042833,729788019.4885805
6,Universal Pictures,PG,45731118.88111888,8872989.487132868,417,108,1979,5,1979-05-25,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27989639.84895105,27989639.84895105
7,Twentieth Century Fox,R,40243384.615384616,12906715.632755244,91,117,1979,5,1979-05-25,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288819055.63023776,288819055.63023776
8,American International Pictures (AIP),PG,55655744.68085106,7826589.09574468,575,108,1979,10,1979-10-19,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29219265.957446806,29219265.95744681
9,Paramount Pictures,G,119365971.31681877,40674537.91423729,857,132,1979,12,1979-12-07,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,280538871.41319424,280538871.41319424
10,Universal Pictures,PG,119365971.31681877,9214705.119113429,325,118,1979,12,1979-12-14,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1377169481.5539412,541931834.3504418
11,Warner Bros.,PG,65313857.677902624,4575216.136179776,677,121,1980,3,1980-03-28,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12292028.826666668,12292028.826666668
12,Twentieth Century Fox,PG,57560831.29584352,15702860.196894865,126,124,1980,5,1980-05-21,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669618021.7059902,1780379412.5541658
13,Warner Bros.,R,60758655.25672372,1990124.1703422982,10,146,1980,5,1980-05-23,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140759813.27222493,140759813.27222493
14,Universal Pictures,R,69586505.44135429,9878965.276831921,584,109,1980,6,1980-06-13,4,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49712688.05194679,366929665.66388714
15,United Artists,PG,31140714.285714287,1017613.1473571429,29,89,1980,9,1980-09-26,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32352097.413642857,137947602.10271895
16,Paramount Pictures,PG,51969933.77483445,23980726.18086093,1078,115,1981,6,1981-06-12,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989900847.376789,1398167172.7054398
17,Warner Bros.,PG,155909801.32450333,40711291.47225166,1397,127,1981,6,1981-06-19,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571654281.5109758,701303534.0385829
18,Paramount Pictures,PG,89049191.4893617,6470061.0199787235,396,195,1981,12,1981-12-04,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,112376347.94189362,206239018.7766279
19,Paramount Pictures,PG,30203282.474226803,38690461.480639175,1621,113,1982,6,1982-06-04,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212806295.74707216,437237392.87762755
20,Universal Pictures,PG,28315577.31958763,31916749.746371135,1103,115,1982,6,1982-06-11,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2958555273.485387,1384006240.657923
21,Walt Disney Studios Motion Pictures,PG,45609169.230769224,12775383.176307691,1091,96,1982,7,1982-07-09,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88535446.15384614,149528306.55899292
22,Metro-Goldwyn-Mayer (MGM),PG,122908804.9029622,6215209.695444331,1291,140,1982,9,1982-09-17,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13896673.338631256,15945344.809742369
23,Paramount Pictures,R,45284052.95315682,1407958.455580448,303,105,1982,10,1982-10-08,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2521152.355417515,2521152.3554175156
24,Orion Pictures,R,39956517.311608955,17692759.18441955,901,93,1982,10,1982-10-22,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125764214.4004888,190570954.8203845
25,Columbia Pictures,PG,56283012.295081966,14849254.33954918,943,116,1982,12,1982-12-17,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,474921418.0327869,534040798.4107508
26,Paramount Pictures,R,8015791.62410623,33185.37732379979,1,105,1983,3,1983-03-04,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4990610.489724208,4990610.489724208
